"kilde (aktivitet)";"energiprodukt";"komponent";"år";"statistikkvariabel";"08940: Klimagasser, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";51342
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";48950
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";47303
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";49270
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";51184
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";51580
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54461
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54427
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54512
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";55537
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54891
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";56159
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54969
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";55537
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";55946
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54870
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54860
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";56543
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";55029
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";52546
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54896
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";53972
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";53366
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";53619
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";53960
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";54406
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";53489
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";52713
"0 Alle kilder";"VT0 I alt";"A10 Klimagasser i alt";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";52741
